一级评论;实际爬取到的二级评论内容;单条评论情绪值;信任度指数1;正向情绪最大绝对值;负向情绪最大绝对值;情绪极性差值;信任度指数2;一级评论账号的粉丝数;信任度指数4;信任度值;归一化信任度值
能不能说说，为啥我支付成功，他不显示会员[苦涩];非常抱歉出现这样的情况！私信里之前已经回复您了，我们会全力尽快解决;-0.9313795023071163
我可以带[奋斗];回复@云吞面吃饱没:可以的;0.608737030618562
我可以带[奋斗];回复@不是法老是保安:可以帮我带吗姐妹[悲伤];0.7516380275306336
我可以带[奋斗];回复@云吞面吃饱没:我现在在去的路上了;0.584091505576561
我可以带[奋斗];姐妹求带[悲伤][悲伤];0.9985918766794235
我可以带[奋斗];姐妹能不能帮带[泪]求求了[泪];0.8946299556696675
我可以带[奋斗];求带！;-0.13886043273191317
我可以带[奋斗];回复@全他妈给我衮:看看私信;0.8547944329002419
我可以带[奋斗];求带[苦涩];0.653095617212917
我可以带[奋斗];姐妹可以帶嗎[抱抱]謝謝啦[心];0.7625799981377961
我可以带[奋斗];姐妹可以帮带吗[泪][泪][泪];0.9980999768922743
我可以带[奋斗];回复@山茶油小猫:可以的;0.7353372078316696
我可以带[奋斗];姐妹可以带吗[憧憬];-0.031474986079361056
-----;------;------;0.5328421833179179;0.999451104603285;-0.911444441247433;1.910895545850718;0.044552227074641015;32;2.5354348813563054e-06;0.23095827124399984;0.384930452073333
救命我要去！;回复@彩彩彩彩采彡:我也[裂开][裂开];-0.5447555424737851
救命我要去！;回复@彩彩彩彩采彡:没事谢谢啦;0.824135148817857
救命我要去！;回复@余光izzy:不好意思宝宝我明天要调休[泪]没时间了[泪]可恶;0.6487774458357456
救命我要去！;宝你什么时候去呀接带id嘛[开学季];0.5075934420150063
救命我要去！;回复@kk两只猫_:可以宝宝;-0.11563021423810493
救命我要去！;回复@彩彩彩彩采彡:老公能不能帮带id可以有偿[泪];0.9275525323814231
救命我要去！;有没有呈贡一起去的姐妹呀[泪][爱你];0.875362025991717
-----;------;------;0.521148198790822;0.9275525323814231;-0.5447555424737851;1.4723080748552082;0.2638459625723959;11;8.7155574046623e-07;0.31399783885643523;0.5233297314273919
妈呀就在我家附近诶[泪][泪][泪][泪]明天就去;可以帮带id吗[泪];0.813545451317822
-----;------;------;0.0;0.813545451317822;;0;1.0;4;3.1692936016953817e-07;0.4000000633858721;0.6666667723097867
应该不会得颈椎病吧;哈哈不会的，古老的传统[嘻嘻];0.9648548944039512
-----;------;------;0.0;0.9648548944039512;;0;1.0;49;3.882384662076843e-06;0.40000077647693244;0.6666679607948873
有意思[嘻嘻][嘻嘻];要不要去云南;-0.24956914026874366
-----;------;------;0.0;;-0.24956914026874366;0;1.0;325;2.5750510513774977e-05;0.4000051501021028;0.6666752501701713
哇啊啊啊啊啊好羡慕！;[羞嗒嗒][羞嗒嗒][羞嗒嗒]期待[赢牛奶];-0.8718001032932099
-----;------;------;0.0;;-0.8718001032932099;0;1.0;338;2.678053093432598e-05;0.40000535610618687;0.6666755935103114
玉龙雪山推荐;在行程之中[喵喵][赢牛奶];0.4620082781276227
-----;------;------;0.0;0.4620082781276227;;0;1.0;57;4.5162433824159195e-06;0.4000009032486765;0.6666681720811274
好羡慕555我也想去;[喵喵];-0.05246556361561838
-----;------;------;0.0;;-0.05246556361561838;0;1.0;83;6.5762842235179175e-06;0.40000131525684474;0.6666688587614078
哇真好！！！！;[赢牛奶][赢牛奶][赢牛奶];0.7338683659040175
-----;------;------;0.0;0.7338683659040175;;0;1.0;112;8.87402208474707e-06;0.40000177480441695;0.6666696246740281
哇哦！一路顺风！;安全到达[赢牛奶][赢牛奶][赢牛奶];0.46530486170373275
-----;------;------;0.0;0.46530486170373275;;0;1.0;188;1.4895679927968295e-05;0.4000029791359856;0.6666716318933092
拍大片出攻略[doge][doge]好好玩耍啦;么问题啦[喵喵];-0.05246556361561838
-----;------;------;0.0;;-0.05246556361561838;0;1.0;5;3.961617002119227e-07;0.40000007923234004;0.6666667987205667
[赞][赞][赞];回复@StellaVee:佳作再赏[赞][赞][赞]周末快乐[音乐][音乐][笑哈哈][笑哈哈];0.9999791639071989
[赞][赞][赞];周五愉快。🌷🌷🌷;0.2989004283655916
-----;------;------;0.35053936777080363;0.9999791639071989;;0;1.0;245;1.9411923310384215e-05;0.5402196294929836;0.9003660491549725
美词欣赏！[赞][赞][赞][赞啊][赞啊][赞啊]晚好！[锦鲤附体][锦鲤附体][心][心][鲜花][鲜花][鲜花];謝謝雅賞，晚安夢甜。💐🍀💐🍀💐;0.9776555054268752
-----;------;------;0.0;0.9776555054268752;;0;1.0;6593;0.0005223788178994413;0.40010447576357994;0.6668407929392998
下午好[鲜花];傍晚靜好，謝謝雅賞連贊，晚餐愉快。🌷🍀🌷🍀🌷;0.9864900954460842
-----;------;------;0.0;0.9864900954460842;;0;1.0;2756;0.0002183643291568118;0.40004367286583137;0.6667394547763855
[赞][鲜花][给力][音乐]下午静好！;傍晚靜好，謝謝雅賞美贊，晚餐愉快！🍓🍀🍓🍀🍓;0.99326437457679
-----;------;------;0.0;0.99326437457679;;0;1.0;110085;0.008722292153565903;0.4017444584307132;0.6695740973845219
欣赏佳作[鲜花][鲜花][鲜花][鲜花]晚上吉祥;周五愉快。🌷🌄🌷🌄🌷;0.2989004283655916
-----;------;------;0.0;0.2989004283655916;;0;1.0;2031;0.000160920882626083;0.40003218417652525;0.6667203069608754
[鲜花][笑哈哈][给力][音乐]周五快乐！;午間愉悅，午餐吃香香滴！😭🍔🍦🍟[可乐]🍓🌷;-0.5140719063433583
-----;------;------;0.0;;-0.5140719063433583;0;1.0;110085;0.008722292153565903;0.4017444584307132;0.6695740973845219
美美哒[赞啊][赞啊][赞啊];午餐愉快。🍦🍔🍟[可乐]🍒🌷;-0.663691484520093
-----;------;------;0.0;;-0.663691484520093;0;1.0;23251;0.0018422311383254832;0.4003684462276651;0.667280743712775
太酸了我们论文可能都五一才能交;回复@木香彡sarah:就应该是最后那批答辩的吧......;0.1428499370694849
太酸了我们论文可能都五一才能交;咋能这么晚，你们要延迟答辩吗;-0.7599916085039047
-----;------;------;0.4514207727866948;0.1428499370694849;-0.7599916085039047;0.9028415455733896;0.5485792272133052;136;1.0775598245764299e-05;0.40000215511964915;0.6666702585327485
啥直播，分享下啊？;BV1ex411t7Yv有两段。P2是全程直播，建议你看完。真的很神奇。;0.8875506482834026
-----;------;------;0.0;0.8875506482834026;;0;1.0;178;1.410335652754445e-05;0.40000282067130555;0.6666713677855092
彩云这个演员还演过其它角色吗？;回复@蛙卡丘:哦对，那个雉鸡精;0.7625075072990877
彩云这个演员还演过其它角色吗？;封神榜里妲己的姐妹好像，跟姬发弟弟好的那个;-0.5243814822463322
-----;------;------;0.6434444947727099;0.7625075072990877;-0.5243814822463322;1.2868889895454199;0.35655550522729007;1;7.923234004238454e-08;0.40000001584646805;0.6666666930774466
是战长沙里的金凤嘛;回复@因为我的疒丙就是没有感觉:好像哦;-0.31976509685926646
是战长沙里的金凤嘛;不是喔可能穿着盔甲的时候有一点像查了一下彩云是鄢博雅饰演金凤是瑛子饰演;-0.6099017957491846
-----;------;------;0.14506834944495905;;-0.6099017957491846;0;1.0;343;2.71766926345379e-05;0.4580327751165106;0.7633879585275175
求定位;广州市文化馆，要公众号提前预约;-0.18647982000272112
-----;------;------;0.0;;-0.18647982000272112;0;1.0;675;5.348182952860957e-05;0.40001069636590575;0.6666844939431762
乐善好施、扶贫帮困，是中华民族的传统美德，相互帮忙、患难扶持，是社会倡导的时代新风，月有阴晴圆缺，人有旦夕祸福，这是发生在我身边的真人真事，希望大家伸出援助之手，您的点滴之恩，将化成一缕缕阳光，照亮他们的天空。;能力配不上野心，是所有烦扰的根源。这个世界是公平的，你要想得到，就得学会付出和坚持。每个人都是通过自己的努力，去决定生活的样子。;0.9989091091788593
-----;------;------;0.0;0.9989091091788593;;0;1.0;50;3.9616170021192275e-06;0.40000079232340047;0.6666679872056673
日行一善，积善成德。人要有一颗善良的心、宽广的心、美好的心、感恩的心，这样才能去帮助有困难的人。;当你感觉走投无路时，一转身也许柳暗花明横竖尽是路。当你感觉山穷水尽一无所有时，只要你勤奋拼搏，总会收获很多。只要你对人生不妥协绝望冷静迎对，失望有时也会开出希望的花朵。;0.973441098486914
-----;------;------;0.0;0.973441098486914;;0;1.0;50;3.9616170021192275e-06;0.40000079232340047;0.6666679872056673
[太阳][太阳][太阳];[鲜花];0.33333333333333415
-----;------;------;0.0;0.33333333333333415;;0;1.0;717;5.680958781038972e-05;0.4000113619175621;0.6666856031959367
[送花花][送花花][送花花];晚上好;0.058198688014598376
-----;------;------;0.0;0.058198688014598376;;0;1.0;73;5.783960823094072e-06;0.40000115679216464;0.6666685946536076
早ㄚhttp://t.cn/A6NGdkMw;[心];0.5297450424929182
-----;------;------;0.0;0.5297450424929182;;0;1.0;273;2.1630428831570983e-05;0.40000432608576636;0.6666738768096105
晚上好[心][心][心];晚好么;-0.2871261109635135
-----;------;------;0.0;;-0.2871261109635135;0;1.0;168;1.3311033127120604e-05;0.40000266220662545;0.666671103677709
[抱一抱][抱一抱][抱一抱];爱你爱你;0.7767320794978658
-----;------;------;0.0;0.7767320794978658;;0;1.0;308;2.440356073305444e-05;0.4000048807121466;0.6666748011869109
早上好[心];么;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;256;2.0283479050850443e-05;0.4000040566958102;0.6666734278263502
晚上好呀[爱你];么;0.052465563615616606
-----;------;------;0.0;0.052465563615616606;;0;1.0;328;2.598820753390213e-05;0.4000051976415068;0.6666753294025113
[开学季]你最好别太频繁更;别太🍋;-0.35883691693780917
-----;------;------;0.0;;-0.35883691693780917;0;1.0;625;4.9520212526490344e-05;0.4000099040425053;0.6666831734041754
你咋这么潇洒[摊手];[奥特曼]嘿嘿嘿;0.7512473398755006
-----;------;------;0.0;0.7512473398755006;;0;1.0;105;8.319395704450377e-06;0.40000166387914093;0.6666694397985681
已经在丽江玩了十几天,有个叫小锅巴的餐厅,他家的铜锅饭和野生菌火锅,味道特别好。有个叫味绝藏餐也可以。拉市海线路注意有坑别信路边拉客。。。。;哇[团圆兔]谢谢小姐姐;0.9967712504540474
-----;------;------;0.0;0.9967712504540474;;0;1.0;97;7.6855369841113e-06;0.40000153710739683;0.6666692285123279
去年我自驾一圈，骑电瓶车一圈哈哈哈;回复@季春桃良:是有点小晒;0.938908259821541
去年我自驾一圈，骑电瓶车一圈哈哈哈;骑电瓶车会不会有点晒[欢乐熊出没];0.9404991024539449
-----;------;------;0.0007954213162019164;0.9404991024539449;;0;1.0;13041;0.001033268946492737;0.40052482231577935;0.6675413705262988
疯狂点赞;[666];0.0
-----;------;------;0.0;0.0;0.0;0;1.0;76;6.0216578432212255e-06;0.40000120433156866;0.6666686738859476
景点停车怎么样;沿途古镇里面可以停车，或者直接停路边;-0.313543673567684
-----;------;------;0.0;;-0.313543673567684;0;1.0;0;0.0;0.4;0.6666666666666666
崔神好文采[泪];看我俩的ip好闹心;0.6336010925249189
-----;------;------;0.0;0.6336010925249189;;0;1.0;25;1.9808085010596137e-06;0.40000039616170024;0.6666673269361669
好馋啊[哇];解馋要趁早哈[笑而不语][笑而不语][笑而不语];0.09156752591409156
-----;------;------;0.0;0.09156752591409156;;0;1.0;91202;0.007226147876545555;0.40144522957530915;0.6690753826255151
真的是赞爆了！;有木有，有木有[666][666][666];-0.10464308298026648
-----;------;------;0.0;;-0.10464308298026648;0;1.0;544491;0.043141296062018004;0.40862825921240364;0.6810470986873393
nice！;图片评论http://t.cn/A65FcOtP;-0.15786672486692166
-----;------;------;0.0;;-0.15786672486692166;0;1.0;109928;0.008709852676179249;0.40174197053523586;0.6695699508920596
我也想去玩;来呀来呀来呀[666][666][666]http://t.cn/A6V6Ts62;0.0
-----;------;------;0.0;0.0;0.0;0;1.0;175531;0.013907731879979802;0.402781546375996;0.6713025772933265
好想吃[舔屏];肘肘肘[笑而不语][笑而不语][笑而不语];-0.31799847670136216
-----;------;------;0.0;;-0.31799847670136216;0;1.0;4777;0.00037849288838247096;0.4000756985776765;0.6667928309627941
异域风情;是异域风味[笑而不语][笑而不语][笑而不语];0.8038464164311732
-----;------;------;0.0;0.8038464164311732;;0;1.0;110727;0.008773159315873113;0.40175463186317467;0.669591053105291
帮我吃;某问题[666][666][666];0.0
-----;------;------;0.0;0.0;0.0;0;1.0;329018;0.02606886605606528;0.4052137732112131;0.675356288685355
太棒了;是吧是吧[偷乐][偷乐][偷乐];-0.2070192687772281
-----;------;------;0.0;;-0.2070192687772281;0;1.0;212984;0.01687522071158723;0.40337504414231745;0.6722917402371956
看着直流口水;快擦擦，快擦擦[笑而不语][笑而不语][笑而不语];-0.7182703417473504
-----;------;------;0.0;;-0.7182703417473504;0;1.0;2385;0.00018896913100108713;0.40003779382620025;0.6667296563770003
想吃美食[打call];那还等啥[笑而不语][笑而不语][笑而不语];-0.07379504331176312
-----;------;------;0.0;;-0.07379504331176312;0;1.0;0;0.0;0.4;0.6666666666666666
想去云南了;来我大济南也是阔以滴[666][666][666];0.011426644393955687
-----;------;------;0.0;0.011426644393955687;;0;1.0;101206;0.00801878820632957;0.40160375764126593;0.6693395960687765
鲜花饼真的好好吃[心];矮油，一看奏是行家呐[偷乐][偷乐][偷乐];0.6818978131851696
-----;------;------;0.0;0.6818978131851696;;0;1.0;100350;0.00795096532325329;0.40159019306465066;0.6693169884410843
好多美食[哇][哇];deì哈deì哈[偷乐][偷乐][偷乐];-0.30505392749006943
-----;------;------;0.0;;-0.30505392749006943;0;1.0;10737;0.0008507176350350829;0.400170143527007;0.6669502392116783
好多美食[哇];deì哈deì哈[偷乐][偷乐][偷乐];-0.30505392749006943
-----;------;------;0.0;;-0.30505392749006943;0;1.0;159;1.2597942066739144e-05;0.4000025195884134;0.6666708659806888
真的好爱[求关注][求关注];那还等啥[笑而不语][笑而不语][笑而不语];-0.07379504331176312
-----;------;------;0.0;;-0.07379504331176312;0;1.0;2393;0.0001896029897214262;0.4000379205979443;0.6667298676632404
有点意思;矮牙，被你发现嘞[笑而不语][笑而不语][笑而不语];-0.4510197537659635
-----;------;------;0.0;;-0.4510197537659635;0;1.0;83694;0.0066312714675073325;0.4013262542935015;0.6688770904891691
好多好吃的呀;没戳没戳[笑而不语][笑而不语][笑而不语]就问你馋不馋;-0.8952018639169446
-----;------;------;0.0;;-0.8952018639169446;0;1.0;414;3.2802188777547206e-05;0.4000065604377555;0.6666776007295924
这也太棒了吧;低调低调[偷乐][偷乐][偷乐];0.8602629169665985
-----;------;------;0.0;0.8602629169665985;;0;1.0;178737;0.014161750762155687;0.4028323501524312;0.6713872502540519
饿了饿了饿了！太有食欲啦！;饿了你就再吃点儿[偷乐][偷乐][偷乐];-0.5965684962814632
-----;------;------;0.0;;-0.5965684962814632;0;1.0;243045;0.019257024085601353;0.4038514048171203;0.6730856746952004
这也太太馋人了[舔屏];解馋要趁早哈[笑而不语][笑而不语][笑而不语];0.09156752591409156
-----;------;------;0.0;0.09156752591409156;;0;1.0;281;2.2264287551910057e-05;0.4000044528575104;0.6666740880958506
这么多特色菜[坏笑];那必须滴[偷乐][偷乐][偷乐]是不是都没说过;-0.7966985356729479
-----;------;------;0.0;;-0.7966985356729479;0;1.0;20983;0.0016625321911093549;0.4003325064382219;0.6672208440637031
有时间一定出去玩一玩;济南大门常打开，开放怀抱等你[偷乐][偷乐][偷乐];0.5324267712863051
-----;------;------;0.0;0.5324267712863051;;0;1.0;21659;0.001716093252978007;0.40034321865059563;0.6672386977509926
我好想出去旅游[飞机][飞机];济南大门常打开，开放怀抱等你[偷乐][偷乐][偷乐];0.5324267712863051
-----;------;------;0.0;0.5324267712863051;;0;1.0;544491;0.043141296062018004;0.40862825921240364;0.6810470986873393
太丰盛了吧[心];那必须滴[666][666][666];0.019034339767523445
-----;------;------;0.0;0.019034339767523445;;0;1.0;100350;0.00795096532325329;0.40159019306465066;0.6693169884410843
[舔屏][舔屏][舔屏];[笑而不语][笑而不语][笑而不语];-0.17020472194054248
-----;------;------;0.0;;-0.17020472194054248;0;1.0;838;6.639670095551824e-05;0.40001327934019115;0.6666887989003185
哇哦;[偷乐][偷乐][偷乐];-0.2070192687772281
-----;------;------;0.0;;-0.2070192687772281;0;1.0;154;1.220178036652722e-05;0.40000244035607335;0.6666707339267888
Saney姐是第一次来云南面授吗[嘻嘻];回复@程思斐考研四六级:尝试下鲜花饼[嘻嘻];0.996492260778777
Saney姐是第一次来云南面授吗[嘻嘻];嗯，第一次来上课;0.8144760564109188
-----;------;------;0.09100810218392907;0.996492260778777;;0;1.0;92;7.289375283899378e-06;0.4364046987486284;0.7273411645810473
好玩吗好玩吗[開學季];美是美天气太干了;0.3497161120425678
-----;------;------;0.0;0.3497161120425678;;0;1.0;667;5.2847970808270494e-05;0.4000105695941617;0.666684282656936
司机进去没;受害人凭什么进去？;-0.5716254953885811
司机进去没;呵呵，横穿马路，[吐];-0.6152852270266405
司机进去没;就算不是斑马线，市区也有最高速度限制的。;0.5015094016641901
司机进去没;担个次责，最多同责，走自己的三者险赔个人命还是赔得起的。伤的那个麻烦些，如果没买医保外用药险，治疗费比较有可能自费一部分。好好配合，不要妨碍事故处理隐瞒实情，不会进去的。;-0.9985524701348332
司机进去没;说句难听的，自己横穿就算了，还带两个小孩，服了;-0.6354971373550244
司机进去没;唉，其实那么远的时间足够发现行人，可以刹得住车，大概率一个不看车，一个不看人。[跪了][跪了][跪了];-0.4463846095380519
司机进去没;没多大事次要责任就是没有紧急避让;0.10983510934383633
司机进去没;同等责任，不涉刑;0.016756138573658985
司机进去没;那么远的距离完全可以刹住;-0.04618324278068142
司机进去没;这种麻烦让行人全责好吗;-0.8863943186903542
司机进去没;不知道司机有没有超速，很明显老人带两个孩子横穿马路啊，也不能全是司机的问题吧;-0.7658661757601342
司机进去没;大家莫名同情弱者，要不是因为是两个小孩，早就一边倒说活该了;0.27909742148561945
司机进去没;真的很烦这些横穿马路的;-0.29805722196010276
司机进去没;开过车？;-0.3502707752394243
司机进去没;为什么进去？你是法官？;-0.10028951813035514
司机进去没;最怕探头鬼;-0.4169722093867825
司机进去没;就是，应该先枪毙再公布。;-0.7175955924224147
司机进去没;如果是酒驾毒驾会进去，超速不会。;-0.8781706397755262
司机进去没;如果没喝酒没超速，正常驾驶凭什么进去？;-0.8707964768788174
司机进去没;最多同等责任，进不去;-0.6776992094817686
-----;------;------;0.41347822881140395;0.5015094016641901;-0.9985524701348332;1.5000618717990233;0.24996906410048836;984;7.79646226017064e-05;0.2653945100892773;0.4423241834821287
斑马线在脚底下自动生成;回复@一招滑铲闯江湖:对呀，搞不懂这些人，就算受伤也是自己受苦啊;0.42725491012589356
斑马线在脚底下自动生成;回复@追求完美做到极致:没错，人命算什么。就是图个乐[doge];0.9379017762836523
斑马线在脚底下自动生成;哎呀呀！小孩子不懂事，大人也糊涂蛋一个，你们说该不该呀[挖鼻][挖鼻];-0.9000979424639965
斑马线在脚底下自动生成;笑得想死;-0.6427962763061259
斑马线在脚底下自动生成;地狱之门为你打开;-0.555520563357059
斑马线在脚底下自动生成;黄泉路自动生成[doge];-0.29147642679548147
斑马线在脚底下自动生成;回复@京东券叔:命是自己的……;0.9970173583344382
斑马线在脚底下自动生成;回复@京东券叔:这么喜欢把自己的命放到别人手上[笑哈哈];0.9902240805625462
斑马线在脚底下自动生成;@不听69;0.5093798191042396
斑马线在脚底下自动生成;回复@京东券叔:就算司机主责，那你人没了啊[笑cry];0.8503325952838114
斑马线在脚底下自动生成;回复@京东券叔:都有问题;0.9714430439869131
斑马线在脚底下自动生成;这司机有很大问题;0.07532748114864551
-----;------;------;0.6855525077761908;0.9970173583344382;-0.9000979424639965;1.8971153007984347;0.051442349600782644;79;6.25935486334838e-06;0.29479919482176203;0.4913319913696033
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@Royal丶Crush:应不应该让和能不能让开是两回事，有的人就是不想想这一点。;-0.9797263743756444
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@imiracle_____:最无辜的孩子，却承受最大的伤痛;0.9491808114368601
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@浅夏萤窗:都报的侥幸心理，都觉得对方应该让自己，哪有那么多应该啊;-0.9542446962246294
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@梁志财Love:网约车司机不停听微信语音还发语音甚至回文字信息，我偶尔坐一下都感觉胆战心惊;0.6689572023783874
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;确实是但凡一方等一下也就过去了这么远的距离司机肯定没看路老太太也是就非得过可怜三条人命;-0.3017563391860294
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@Royal丶Crush:我坐过网约车司机不停的看地图和单子还有和其他人微信聊天;-0.8916635267421236
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@Royal丶Crush:现在行人和两轮车该改改观念了，四轮车不违法保险完全够，现在都是几百万一千万三者的。可人命没了就是没了。;-0.9975584983388959
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;估计是是分神或者是没带太阳镜（正对太阳开车了）;-0.14465171142877153
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@vicky里里里:[握手]一样的，走斑马线，注意观察，快速通过。我还时常教育家里老人注意：千万别想着“他不敢撞我”，敢不敢撞和会不会撞上是两回事，除了你说那些因素那还有个词叫“惯性”呢。说难听点，如果双方都是开车的那还好点。纯肉身行人，千万不能在意识里把自己的命交到别人手上🙏。;0.9837739856657375
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@浅夏萤窗:过斑马线，即使是绿灯，我都要走快点，尽量快去通过，毕竟万一路上有新手司机，喝酒的，吵架的，看手机的，还是尽量降低风险吧;0.3948684999104759
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@浅夏萤窗:虽然司机问题很大，但是这老太太实在也是太不怕死了，司机可能关进去几年罚点钱，自己一家三口可是没命了呀！怎么想的呢，不懂;-0.9999085005944386
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;算是说到点子上了;-0.019718056377827642
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;司机和行人可能都觉得自己能过去……;-0.3474221180067485
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@Royal丶Crush:我是完全不敢碰手机的因为开车时稍微不注意真的很危险很多人方向灯都不打一般路上慢悠悠的开又不让道的都是在玩手机;-0.9894486862984679
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;都觉得对方会让，结果……。;-0.04572520955570791
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@隨心所愛1000:他可能想逼停行人，让她害怕之后能主动停下，但是这悲剧最重要的一点就是“我不要你以为，我只要我以为”;0.8901861484026568
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@浅夏萤窗:莫名自信和霸气，走出威武和雄壮。现在过度强调礼让行人，置“红灯停绿灯行”的基本规则不顾，片面助长了这种思想;0.5517277732322299
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@漩影shadow:我不太理解开车的时候玩手机，我只要开车是根本不看手机的，啥时候不能玩，非要黄泉路上玩，想不开;0.5330666988608694
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@疯狂的小河马zzz:行人和自行车是大爷，电动车、摩托车是爸爸，四轮车现在是“路权”最小的孙子;0.9451251396190847
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;回复@浅夏萤窗:汽车是新鲜事物，很多老一辈人的成长经历里没有建立交通意识，老的意识没法处理新的局面;0.9813891319319461
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;我去我们县里，很多人过马路不看路，电动车骑路中间，突然拐弯不看后面，我都惊呆了。;0.4794626039189045
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;大概率是在看手机，这个距离肯定来得及刹车;0.3376546179017157
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;小车还加速了;0.7036776426499092
明明都看到了，一个不减速一个不停步，唉，可怜孩子们了;有的人真的神奇，之前看法治新闻，也是老太太领小孩过马路，看见一电三轮过来，老太太不停，边给对方招手边走，结果被撞死了…怎么想的…招手人没看见呢？看见了刹不住呢？唉…;-0.3541447953471599
-----;------;------;0.7207575704364079;0.9837739856657375;-0.9999085005944386;1.983682486260176;0.008158756869911965;255;2.0204246710808058e-05;0.29157057177187007;0.4859509529531167
怎么说呢，其实只要不超速，司机才是受害者。;回复@W忘川默:而且要行人一时糊涂，因为人总会一时糊涂;-0.8509166305420501
怎么说呢，其实只要不超速，司机才是受害者。;回复@W忘川默:正解，我们开车的时候要时刻提醒自己这是一个可以置人于死地的工具。;0.9239479350483522
怎么说呢，其实只要不超速，司机才是受害者。;超过20码可以撞死人;0.06215662047600956
怎么说呢，其实只要不超速，司机才是受害者。;回复@W忘川默:说得对;-0.3561994844205991
怎么说呢，其实只要不超速，司机才是受害者。;可他超速了。;0.0
怎么说呢，其实只要不超速，司机才是受害者。;不超速怎么就不用观察路面情况了？网约车肯定看手机了盲开了几十米没有任何责任？！还怎么说怎么说都有责任撞死人更是咎由自取;-0.7393510888631214
怎么说呢，其实只要不超速，司机才是受害者。;回复@梦想有只鸡:茹触是这样的[嘻嘻];0.9862691164562785
怎么说呢，其实只要不超速，司机才是受害者。;说句人话吧;-0.250494524357711
怎么说呢，其实只要不超速，司机才是受害者。;只要开车，车就如人带着刀枪，随时都会有伤到人的风险，所以不管别人有没有遵守规则，开车的人时刻要注意;-0.2305653056657846
怎么说呢，其实只要不超速，司机才是受害者。;没错;-0.22005291736583854
-----;------;------;0.578497019963075;0.9862691164562785;-0.8509166305420501;1.8371857469983286;0.0814071265008357;1084;8.588785660594485e-05;0.2639788361568855;0.4399647269281424
为什么感觉汽车突然加速？丝毫不减速[衰];回复@我的城堡和花园:孩子太可怜了;0.8732314336178046
为什么感觉汽车突然加速？丝毫不减速[衰];回复@野原老弟丶:我也感觉车突然快了;0.8500280423148918
为什么感觉汽车突然加速？丝毫不减速[衰];回复@我是豆子:没有斑马线不是路口，对面绿化带，横穿马路看不见？司机正常行驶，到底谁不正常？不减速有责任，但不是全部，微博法官看好了[开学季];-0.9920788873326591
为什么感觉汽车突然加速？丝毫不减速[衰];回复@我是豆子:你哪只眼睛看别人加速了？远处看和近处看能一样？;-0.11854747234831264
为什么感觉汽车突然加速？丝毫不减速[衰];回复@匡硕KYB:100米的距离，3个人看不见？到底谁不正常？;-0.7331997018937124
为什么感觉汽车突然加速？丝毫不减速[衰];正常情况下左边都有绿化带隔着不可能有人横穿马路开快也正常;-0.9775852878594986
为什么感觉汽车突然加速？丝毫不减速[衰];我觉得是监控由远及近视觉效果好像是加速了一样;-0.48778937218118346
为什么感觉汽车突然加速？丝毫不减速[衰];回复@我的城堡和花园:应该是红衣服老人没了，头部流血了;0.2559415529253608
为什么感觉汽车突然加速？丝毫不减速[衰];1、白色车辆后面暂时没其他车辆，老人自告奋勇非要拼速度抢行。2、老人并非垂直抢行，一直斜向向右侧抢行。3、老人没死，左侧小孩做为肉盾死亡。;-0.9680408924486501
-----;------;------;0.7172773075280592;0.8732314336178046;-0.9920788873326591;1.8653103209504638;0.06734483952476811;237543;0.018821087750688154;0.3176130763712685;0.5293551272854474
网约车看手机开车走神可能性很大;回复@刘大喵L:那还好，我遇到过跑线车，一个劲水微信群，聊天的，高速上[汗];-0.6831788997185397
网约车看手机开车走神可能性很大;回复@borne-fruit:有技术也别看，红灯时候看看也就算了，开车分神去点的就挺吓人;-0.9114494401743323
网约车看手机开车走神可能性很大;回复@山头先生:最可怕的高速上看手机的[汗];0.22999322585907112
网约车看手机开车走神可能性很大;我坐网约车十有八九都看手机聊语音之类的尤其进出红灯那段;0.7997416329544818
